sfp_step1,sfp_step2,AcpS_step1,Acps_step2
2078.773,1921.406,1783.119,1809.707
1305.916,1249.524,1310.59,1353.328
1341.348,1282.644,1310.961,1281.562
1718.452,1636.552,1813.32,1685.919
1853.562,1728.416,1788.195,1640.282
1327.582,1287.374,1382.299,1283.041
1459.519,1420.086,1530.453,1441.514
1443.772,1403.666,1631.12,1523.489
1771.984,1688.911,1732.844,1613.305
1422.213,1380.688,1434.273,1367.757
2034.113,1942.243,1971.861,1865.877
1561.096,1540.478,1446.667,1377.374
1328.338,1290.695,1393.417,1326.085
2552.427,2309.309,2218.344,1953.424
1243.355,1242.993,1127.963,1045.587
1261.804,1240.875,1300.518,1241.876
1265.655,1236.661,1244.883,1210.85
1317.429,1256.992,1571.146,1469.484
1227.799,1231.16,1267.617,1203.487
1290.838,1242.419,1501.554,1417.783
1395.692,1365.756,1327.376,1308.015
1827.322,1754.796,1613.059,1672.89
1370.606,1346.826,1064.371,1319.973
1334.961,1312.738,926.875,1353.816
1254.309,1235.475,711.012,1159.696
2282.815,2221.134,1372.919,2361.417
1767.729,1736.836,1541.541,1532.295
1441.711,1406.344,1320.696,1331.368
2028.656,1960.765,1662.849,1707.785
1523.091,1449.314,1494.091,1579.139
1239.118,1211.858,1214.557,1296.635
2135.601,2051.522,1835.349,1859.376
1323.557,1302.512,1338.379,1315.725
1715.919,1650.037,1752.091,1659.93
1844.504,1822.348,1624.848,1485.02
1938.911,1910.6,2154.896,2029.015
1409.36,1368.012,1478.419,1396.775
1340.36,1301.703,1411.679,1340.692
1969.686,1860.309,1911.487,1766.399
1811.871,1740.764,1512.81,1443.241
1728.69,1718.339,1627.527,1511.755
1373.537,1351.414,1340.763,1271.667
1903.021,1846.982,1958.546,1765.402
2563.283,2498.096,3599.656,3404.883
1413.876,1383.122,1422.89,1281.121
2095.323,2040.241,2315.627,2179.29
1673.503,1645.178,1550.154,1455.631
1245.823,1224.995,1421.867,1326.088
1700.93,1631.755,2241.699,2124.777
1210.358,1196.515,1417.935,1346.265
1462.05,1467.084,1303.008,1270.708
1368.655,1338.23,1206.615,1300.797
2250.224,2202.39,1488.273,1959.41
2588.387,2525.409,2044.802,3359.056
1732.452,1717.476,884.124,1489.48
1474.514,1432.232,922.255,1517.368
2007.284,1924.466,1952.987,2136.622
1943.857,1871.938,1645.212,1786.966
1342.264,1319.57,1162.121,1299.982
1356.26,1281.976,1192.796,1296.171
1840.615,1801.658,1591.794,1750.498
1556.378,1542.094,1162.196,1198.207
1618.049,1577.93,1473.67,1458.589
1438.11,1399.271,1421.377,1359.783
2412.844,2289.615,2538.757,2407.728
1638.059,1589.527,1313.862,1233.939
1749.531,1671.495,1670.86,1549.472
1449.617,1409.598,1436.424,1379.042
1616.446,1597.96,1345.273,1299.333
1289.404,1266.606,1424.077,1331.146
1752.519,1716.935,1718.961,1610.445
1816.238,1785.609,1634.162,1593.622
1318.074,1282.261,1237.863,1171.236
2058.389,2049.194,1551.26,1447.531
1442.103,1421.774,1360.408,1279.725
1502.665,1477.579,1572.923,1503.366
2870.374,2807.566,3615.135,3539.468
2348.214,2247.343,2163.058,1976.572
1194.439,1158.738,1417.647,1295.631
1243.512,1222.562,1400.367,1334.973
1603.932,1545.439,1421.599,1417.869
1545,1506.453,1346.042,1429.951
2241.139,2198.678,1598.05,2029.673
1758.411,1757.915,968.66,1459.136
1817.566,1682.559,1333.012,1981.459
1280.946,1271.161,963.352,1417.966
1439.047,1382.886,1212.519,1556.626
1856.13,1782.416,1140.082,1417.126
3159.684,3084.471,2915.323,3636.029
1850.011,1755.603,1539.485,1707.276
2222.756,2059.222,2050.696,2079.811
1538.936,1460.006,1362.903,1337.066
1879.016,1812.093,1441.317,1377.323
1301.035,1241.716,1312.583,1222.596
1847.385,1772.339,1859.067,1742.904
1559.383,1470.176,1455.322,1334.214
1388.767,1355.312,1393.281,1303.146
1335.596,1271.926,1390.471,1320.667
1853.388,1775.409,1811.822,1722.962
1403.067,1322.936,1506.307,1418.133
1394.617,1346.603,1496.927,1433.513
1790.485,1762.274,1492.473,1433.786
1339.009,1281.435,1245.695,1184.679
1547.121,1503.632,1450.96,1385.516
1360.199,1319.812,1473.014,1410.213
