type,TS,row,col
sfp_1,3,M,26
sfp_1,3,M,27
sfp_1,3,M,28
sfp_1,3,M,29
sfp_1,3,M,30
sfp_1,3,N,1
sfp_1,3,N,2
sfp_1,3,N,3
sfp_1,3,N,4
sfp_1,3,N,6
sfp_1,3,N,8
sfp_1,3,N,9
sfp_1,3,N,11
sfp_1,3,N,12
sfp_1,3,N,13
sfp_1,3,N,14
sfp_1,3,N,15
sfp_1,3,N,16
sfp_1,3,N,18
sfp_1,3,N,23
sfp_1,3,N,24
sfp_1,3,N,26
sfp_1,3,N,28
sfp_1,3,N,29
sfp_1,3,O,1
sfp_1,3,O,2
sfp_1,3,O,3
sfp_1,3,O,4
sfp_1,3,O,7
sfp_1,3,O,8
sfp_1,3,O,9
sfp_1,3,O,11
sfp_1,3,O,13
sfp_1,3,O,14
sfp_1,3,O,17
sfp_1,3,O,19
sfp_1,3,O,20
sfp_1,3,O,23
sfp_1,3,O,24
sfp_1,3,O,26
sfp_1,3,O,28
sfp_1,3,P,1
sfp_1,3,P,3
sfp_1,3,P,4
sfp_1,3,P,5
sfp_1,3,P,6
sfp_1,3,P,7
sfp_1,3,P,9
sfp_1,3,P,10
sfp_1,3,P,13
sfp_1,3,P,20
sfp_1,3,P,21
sfp_1,3,P,22
sfp_1,3,P,23
sfp_1,3,P,25
sfp_1,3,P,27
sfp_1,3,P,28
sfp_1,3,Q,1
sfp_1,3,Q,2
sfp_1,3,Q,3
sfp_1,3,Q,4
sfp_1,3,Q,5
sfp_1,3,Q,6
sfp_1,3,Q,7
sfp_1,3,Q,8
sfp_1,3,Q,9
sfp_1,3,Q,10
sfp_1,3,Q,12
sfp_1,3,Q,13
sfp_1,3,Q,15
sfp_1,3,Q,16
sfp_1,3,Q,17
sfp_1,3,Q,20
sfp_1,3,Q,21
sfp_1,3,Q,22
sfp_1,3,Q,23
sfp_1,3,Q,26
sfp_1,3,Q,27
sfp_1,3,Q,28
sfp_1,3,Q,29
sfp_1,3,Q,30
sfp_1,3,R,1
sfp_1,3,R,4
sfp_1,3,R,6
sfp_1,3,R,7
sfp_1,3,R,8
sfp_1,3,R,13
sfp_1,3,R,14
sfp_1,3,R,15
sfp_1,3,R,19
sfp_1,3,R,20
sfp_1,3,R,28
sfp_1,3,R,30
sfp_1,3,S,1
sfp_1,3,S,2
sfp_1,3,S,3
sfp_1,3,S,5
sfp_1,3,S,6
sfp_1,3,S,9
sfp_1,3,S,10
sfp_1,3,S,11
sfp_1,3,S,12
sfp_1,3,S,13
