x,y
-44.19854,-11.403773
-45.81885,-14.378548
-48.413536,-11.292993
-48.94364,-15.119452
-48.601738,-12.578258
-47.793137,-13.899849
-50.68712,-10.551103
-46.32805,-7.3018327
-49.884506,-7.5911083
-46.749134,-12.295838
-50.62832,-13.1872
-49.318645,-8.290083
-46.676907,-9.98131
-49.58329,-12.939954
-46.34886,-14.146046
-50.33164,-8.783247
-46.646095,-12.028157
-49.06225,-14.838464
-49.45536,-14.54902
-47.446518,-6.6386633
-48.820084,-9.071763
-47.783768,-10.689691
-48.637123,-12.889088
-47.39014,-9.077428
-49.890114,-8.429299
-43.5933,-10.691752
-46.591885,-15.336932
-50.445145,-13.230901
-48.46285,-7.2492476
-45.582726,-7.3508453
-45.744137,-13.429271
-46.125046,-7.287486
-48.813606,-9.466226
-51.292896,-12.537885
-49.362877,-12.86144
-48.36864,-14.097553
-44.923847,-8.141335
-45.478107,-14.907989
-46.551548,-10.503919
-45.38076,-10.132197
-49.80725,-10.069708
-44.35037,-12.02424
-44.765537,-11.745018
-51.649178,-11.755616
-46.08303,-11.76245
-48.591656,-10.932737
-45.974735,-8.22903
-44.308224,-13.967656
-44.129566,-13.984031
-49.719395,-7.721683
-46.63308,-12.905312
-47.8983,-13.340054
-48.611332,-7.3756785
-43.026775,-11.415285
-48.761974,-6.3739595
-46.644672,-12.755061
-49.82312,-10.613307
-43.622562,-10.603577
-49.016655,-7.1583962
21.690449,-0.43444717
21.740133,0.39939117
14.121681,0.31771135
9.954917,9.943316
26.04943,-1.4996207
2.662725,3.7921612
19.500763,-16.842733
14.207105,-24.81277
4.1391416,8.878562
7.0236044,2.5075502
15.808126,6.9601254
0.976198,2.9625685
5.97087,6.241467
-17.459517,12.916997
-18.485619,13.783451
-17.599913,13.210519
-18.095001,13.840778
-26.21402,12.63175
-25.890596,13.317858
-25.918982,12.495279
-25.611115,13.0885105
-3.2690659,6.345545
-2.91943,6.5983214
-3.0741532,6.837416
-3.2558591,6.3661323
